nom,chemin,nb_usages,fichiers_utilisateurs,type,props_principales,candidat_dsfr
DrawerRessource,components/drawer/DrawerRessource.vue,1,pages/admin/contenus/ressources/index.vue,custom,resourceId,non
DrawerSearchMissionsFilters,components/drawer/DrawerSearchMissionsFilters.vue,1,components/section/search/missions/MobileFilters.vue,custom,isOpen,non
DrawerSearchOrganisationsFilters,components/drawer/DrawerSearchOrganisationsFilters.vue,1,components/section/search/organisations/MobileFilters.vue,custom,isOpen,non
DrawerTemoignage,components/drawer/DrawerTemoignage.vue,1,pages/admin/contenus/testimonials/index.vue,custom,temoignageId,non
DrawerTerm,components/drawer/DrawerTerm.vue,1,pages/admin/taxonomies/[slug]/index.vue,custom,termId,non
DrawerTerritoire,components/drawer/DrawerTerritoire.vue,1,pages/admin/contenus/territoires/index.vue,custom,territoireId,non
DsfrComboboxPanelPanelContent,components/dsfr/combobox-panel/PanelContent.vue,0,,wrapper_dsfr,,non
DsfrComboboxPanelTrigger,components/dsfr/combobox-panel/Trigger.vue,0,,wrapper_dsfr,,non
DsfrListboxPanelPanelContent,components/dsfr/listbox-panel/PanelContent.vue,0,,wrapper_dsfr,,non
DsfrNavItemSubItem,components/dsfr/nav-item/SubItem.vue,0,,wrapper_dsfr,item,non
DsfrNotice,components/dsfr/Notice.vue,1,components/section/territoire/NoticeCrise.vue,wrapper_dsfr,id | variant | closable,non
DsfrOverlay,components/dsfr/Overlay.vue,1,components/section/TestimonialOverlay.vue,wrapper_dsfr,title | showCloseButton | isFocusTrap,non
DsfrPaginationSimple,components/dsfr/PaginationSimple.vue,1,pages/admin/other/logs.vue,wrapper_dsfr,currentPage | prevPageUrl | nextPageUrl | afterPageChange,non
DsfrPanelContent,components/dsfr/panel/PanelContent.vue,0,,wrapper_dsfr,,non
DsfrRadioRichGroup,components/dsfr/RadioRichGroup.vue,0,,wrapper_dsfr,modelValue | name | options | disabled | error | success | optionClass,non
DsfrTabsWithRouter,components/dsfr/TabsWithRouter.vue,0,,wrapper_dsfr,selectedTabKey | name | tabs | tabpanelClass,non
DsfrToggle,components/dsfr/Toggle.vue,1,components/box/NumbersVille.vue,wrapper_dsfr,modelValue | activeValue | inactiveValue | variant | size | buttonCheckedClass | buttonUncheckedClass | iconCheckedClass | iconUncheckedClass,non
DsfrVisitCard,components/dsfr/VisitCard.vue,1,components/section/partenaires/EngagementSousToutesSesFormes.vue,wrapper_dsfr,title | description | link,non
FiltersSecondaryFiltersAdminMissions,components/filters/SecondaryFiltersAdminMissions.vue,0,,custom,,non
FiltersSecondaryFiltersAdminOrganisations,components/filters/SecondaryFiltersAdminOrganisations.vue,0,,custom,,non
FiltersSecondaryFiltersAdminParticipations,components/filters/SecondaryFiltersAdminParticipations.vue,0,,custom,,non
FiltersSecondaryFiltersAdminProfiles,components/filters/SecondaryFiltersAdminProfiles.vue,0,,custom,,non
FormInvitationAcceptLogin,components/form/FormInvitationAcceptLogin.vue,1,pages/invitations/[hash].vue,custom,invitation,non
FormInvitationAcceptRegister,components/form/FormInvitationAcceptRegister.vue,1,pages/invitations/[hash].vue,custom,invitation,non
FormLeadReseau,components/form/FormLeadReseau.vue,1,pages/inscription/responsable/tete-de-reseau.vue,custom,,non
FormMissionDomains,components/form/FormMissionDomains.vue,1,pages/admin/organisations/[id]/missions/add.vue,custom,selectedDomain,non
FormNote,components/form/FormNote.vue,1,components/modal/ModalNote.vue,custom,id | notableType | notableId | note | nbRows | required | hideHelp | label | placeholder | context,non
FormOrganisation,components/form/FormOrganisation.vue,1,pages/admin/organisations/[id]/edit.vue,custom,structure,non
FormProfileRole,components/form/FormProfileRole.vue,1,components/modal/ModalProfileRoles.vue,custom,userId,non
FormStructureTag,components/form/FormStructureTag.vue,1,components/modal/ModalTagsManager.vue,custom,tag,oui
FormTemoignage,components/form/FormTemoignage.vue,1,pages/admin/contenus/testimonials/[id]/edit.vue,custom,temoignage,non
FormUserBan,components/form/FormUserBan.vue,1,components/modal/ModalUserBan.vue,custom,,non
FormUserEmail,components/form/FormUserEmail.vue,1,pages/profile/settings.vue,custom,,non
FormUserNotifications,components/form/FormUserNotifications.vue,1,pages/profile/notifications.vue,custom,,non
FormUserPassword,components/form/FormUserPassword.vue,1,pages/profile/settings.vue,custom,,non
FormUserPreferences,components/form/FormUserPreferences.vue,1,pages/profile/preferences.vue,custom,,non
FormUserProfile,components/form/FormUserProfile.vue,1,pages/profile/edit.vue,custom,,non
FormUserSkills,components/form/FormUserSkills.vue,1,components/form/FormUserProfile.vue,custom,modelValue | tagClass,non
IconCalendarPonctuelIcon,components/icon/CalendarPonctuelIcon.vue,0,,custom,,non
IconCalendarRecurentIcon,components/icon/CalendarRecurentIcon.vue,0,,custom,,non
IconDsfrAvatar,components/icon/dsfr/Avatar.vue,0,,wrapper_dsfr,,non
IconDsfrBardFill,components/icon/dsfr/BardFill.vue,0,,wrapper_dsfr,,non
IconDsfrCalendar,components/icon/dsfr/Calendar.vue,0,,wrapper_dsfr,,non
IconDsfrCheck,components/icon/dsfr/Check.vue,0,,wrapper_dsfr,,non
IconDsfrError,components/icon/dsfr/Error.vue,0,,wrapper_dsfr,,non
IconDsfrFrance,components/icon/dsfr/France.vue,0,,wrapper_dsfr,,non
IconDsfrHandicap,components/icon/dsfr/Handicap.vue,0,,wrapper_dsfr,,non
IconDsfrHealth,components/icon/dsfr/Health.vue,0,,wrapper_dsfr,,non
IconDsfrInfo,components/icon/dsfr/Info.vue,0,,wrapper_dsfr,,non
IconDsfrMap,components/icon/dsfr/Map.vue,0,,wrapper_dsfr,,non
IconDsfrMineurs,components/icon/dsfr/Mineurs.vue,0,,wrapper_dsfr,,non
IconDsfrNew,components/icon/dsfr/New.vue,0,,wrapper_dsfr,,non
IconDsfrPeuImporte,components/icon/dsfr/PeuImporte.vue,0,,wrapper_dsfr,,non
IconDsfrSuccess,components/icon/dsfr/Success.vue,0,,wrapper_dsfr,,non
IconDsfrWarning,components/icon/dsfr/Warning.vue,0,,wrapper_dsfr,,non
IconExternal,components/icon/External.vue,0,,custom,,non
IconSpinIcon,components/icon/SpinIcon.vue,1,components/base/Button.vue,custom,,non
LayoutHeaderBanner,components/layout/HeaderBanner.vue,0,,custom,,non
LayoutHeaderFormMissions,components/layout/HeaderFormMissions.vue,1,components/form/FormMissionWrapper.vue,custom,,non
LayoutHeaderMessagerie,components/layout/HeaderMessagerie.vue,0,,custom,,non
LayoutSidebarFormMission,components/layout/SidebarFormMission.vue,1,layouts/form-mission.vue,custom,,non
LayoutTeleportDrawer,components/layout/TeleportDrawer.vue,0,,custom,,non
MenuSidebarAdminMenu,components/menu/SidebarAdminMenu.vue,0,,custom,,non
MenuSidebarStatisticsMenu,components/menu/SidebarStatisticsMenu.vue,0,,custom,,non
MenuSidebarStatisticsPublicMenu,components/menu/SidebarStatisticsPublicMenu.vue,0,,custom,,non
MenuSidebarSupportMenu,components/menu/SidebarSupportMenu.vue,0,,custom,,non
MessagingAlertSupportAwayUsers,components/messaging/AlertSupportAwayUsers.vue,0,,custom,users,oui
MessagingCardInfosMission,components/messaging/CardInfosMission.vue,0,,custom,mission,à discuter
MessagingCardInfosOrganisation,components/messaging/CardInfosOrganisation.vue,0,,custom,organisation,à discuter
MessagingConversation,components/messaging/Conversation.vue,0,,custom,,non
MessagingConversationForm,components/messaging/ConversationForm.vue,0,,custom,,non
MessagingConversationMessages,components/messaging/ConversationMessages.vue,0,,custom,,non
MessagingConversationMission,components/messaging/ConversationMission.vue,0,,custom,,non
