nom,chemin,nb_usages,fichiers_utilisateurs,type,props_principales,candidat_dsfr
SectionSearchSectionSlideshowMissions,components/section/search/SectionSlideshowMissions.vue,0,,custom,title | searchParameters | redirectParameters | plausibleParameters | showDisponibilities,non
SectionSearchTriggerDrawerMobileFilters,components/section/search/TriggerDrawerMobileFilters.vue,0,,custom,,non
SectionSoftGateAntiFlood,components/section/soft-gate/AntiFlood.vue,0,,custom,,non
SectionSoftGateCompleteProfile,components/section/soft-gate/CompleteProfile.vue,0,,custom,,non
SectionSoftGateEmail,components/section/soft-gate/Email.vue,0,,custom,,non
SectionSoftGateInvitations,components/section/soft-gate/Invitations.vue,0,,custom,action,non
SectionSoftGateLogin,components/section/soft-gate/Login.vue,0,,custom,datas,non
SectionSoftGateMissionNotForMinors,components/section/soft-gate/MissionNotForMinors.vue,0,,custom,,non
SectionSoftGateParticipate,components/section/soft-gate/Participate.vue,0,,custom,hasSlots | isMotivationRequired | isInFavorite | isOpenToMinors,non
SectionSoftGatePrerequisites,components/section/soft-gate/Prerequisites.vue,0,,custom,checkDistance,non
SectionSoftGateRegister,components/section/soft-gate/Register.vue,0,,custom,datas | plausibleFrom,non
SectionSoftGateSelectCreneaux,components/section/soft-gate/SelectCreneaux.vue,0,,custom,,oui
SectionSoftGateWaitingList,components/section/soft-gate/WaitingList.vue,0,,custom,,non
SectionSoftGateOverlay,components/section/SoftGateOverlay.vue,0,,custom,,non
SectionTemoignageBoxInformations,components/section/temoignage/BoxInformations.vue,0,,custom,temoignage,non
SectionTemoignageHeaderActions,components/section/temoignage/HeaderActions.vue,0,,custom,testimony,non
SectionTemoignageTestimonials,components/section/temoignage/Testimonials.vue,0,,custom,model | modelType,non
SectionTermBoxInformations,components/section/term/BoxInformations.vue,0,,custom,term,non
SectionTermBoxLiaisons,components/section/term/BoxLiaisons.vue,0,,custom,term,non
SectionTerritoireActions,components/section/territoire/Actions.vue,0,,custom,territoire | buttonSize,non
SectionTerritoireBadges,components/section/territoire/Badges.vue,0,,custom,territoire,oui
SectionTerritoireBoxAideModeration,components/section/territoire/BoxAideModeration.vue,0,,custom,territoire | title,non
SectionTerritoireBoxInformations,components/section/territoire/BoxInformations.vue,0,,custom,territoire | showTitle | boxVariant | boxPadding,non
SectionTerritoireBoxMission,components/section/territoire/BoxMission.vue,0,,custom,territoire | stats,non
SectionTerritoireBoxParticipation,components/section/territoire/BoxParticipation.vue,0,,custom,territoire | stats,non
SectionTerritoireBoxPresentation,components/section/territoire/BoxPresentation.vue,0,,custom,territoire,non
SectionTerritoireDisclosureWarningWords,components/section/territoire/DisclosureWarningWords.vue,0,,custom,territoire,non
SectionTerritoireHeaderActions,components/section/territoire/HeaderActions.vue,0,,custom,territoire,non
SectionTerritoireModalAddTerritoireResponsable,components/section/territoire/ModalAddTerritoireResponsable.vue,0,,custom,territoire,oui
SectionTestimonialOverlay,components/section/TestimonialOverlay.vue,0,,custom,participation | isFocusTrap,non
SectionTestimonialsByMissionActivities,components/section/TestimonialsByMissionActivities.vue,0,,custom,pageName | activity | buttonLink,non
SectionTestimonialsByStructureDepartment,components/section/TestimonialsByStructureDepartment.vue,0,,custom,pageName | department | buttonLink,non
SectionTestimonialsByStructureZips,components/section/TestimonialsByStructureZips.vue,1,pages/villes/[slug].vue,custom,pageName | zips | buttonLink,non
SectionThematiqueBoxInformations,components/section/thematique/BoxInformations.vue,0,,custom,thematique,non
SectionUserAlertStepForm,components/section/user-alert/StepForm.vue,0,,custom,initialForm,oui
SectionUserAlertMissionsOverlay,components/section/UserAlertMissionsOverlay.vue,0,,custom,isOpen | title,oui
SectionUserAlertOverlay,components/section/UserAlertOverlay.vue,0,,custom,,oui
SeoBoxSeoParagraphs,components/seo/BoxSeoParagraphs.vue,0,,custom,page,non
SeoBoxSeoRecruit,components/seo/BoxSeoRecruit.vue,0,,custom,page,non
SettingsFormSettingsMessages,components/settings/FormSettingsMessages.vue,0,,custom,settings,non
ShareFacebook,components/share/Facebook.vue,1,components/section/MissionShareOverlay.vue,custom,size | url,non
ShareLinkedin,components/share/Linkedin.vue,1,components/section/MissionShareOverlay.vue,custom,size | url | message,oui
ShareMail,components/share/Mail.vue,1,components/section/MissionShareOverlay.vue,custom,size | url | subject | message,non
ShareTwitter,components/share/Twitter.vue,1,components/section/MissionShareOverlay.vue,custom,size | url | message,non
ShareWhatsApp,components/share/WhatsApp.vue,1,components/section/MissionShareOverlay.vue,custom,size | url | message,non
StatisticsMissionsByActivities,components/statistics/MissionsByActivities.vue,0,,custom,,non
StatisticsMissionsByDomaines,components/statistics/MissionsByDomaines.vue,0,,custom,,non
StatisticsMissionsByOrganisations,components/statistics/MissionsByOrganisations.vue,0,,custom,,non
StatisticsMissionsByPeriod,components/statistics/MissionsByPeriod.vue,0,,custom,,non
StatisticsMissionsByReseaux,components/statistics/MissionsByReseaux.vue,0,,custom,,non
StatisticsMissionsByStates,components/statistics/MissionsByStates.vue,0,,custom,,non
StatisticsMissionsByTemplates,components/statistics/MissionsByTemplates.vue,0,,custom,,non
StatisticsMissionsByTemplateTypes,components/statistics/MissionsByTemplateTypes.vue,0,,custom,,non
StatisticsMissionsByTypes,components/statistics/MissionsByTypes.vue,0,,custom,,non
StatisticsMissionsStatistics,components/statistics/MissionsStatistics.vue,0,,custom,,non
StatisticsModerationMissionsByDepartments,components/statistics/ModerationMissionsByDepartments.vue,0,,custom,,non
StatisticsModerationMissionsByWeeks,components/statistics/ModerationMissionsByWeeks.vue,0,,custom,,non
StatisticsModerationOrganisationsByDepartments,components/statistics/ModerationOrganisationsByDepartments.vue,0,,custom,,non
StatisticsModerationOrganisationsByWeeks,components/statistics/ModerationOrganisationsByWeeks.vue,0,,custom,,non
StatisticsOrganisationsByDomaines,components/statistics/OrganisationsByDomaines.vue,0,,custom,,non
StatisticsOrganisationsByPeriod,components/statistics/OrganisationsByPeriod.vue,0,,custom,,non
StatisticsOrganisationsByReseaux,components/statistics/OrganisationsByReseaux.vue,0,,custom,,non
StatisticsOrganisationsByStates,components/statistics/OrganisationsByStates.vue,0,,custom,,non
StatisticsOrganisationsByTypes,components/statistics/OrganisationsByTypes.vue,0,,custom,,non
StatisticsOrganisationsStatistics,components/statistics/OrganisationsStatistics.vue,0,,custom,,non
StatisticsOverviewApiEngagement,components/statistics/OverviewApiEngagement.vue,0,,custom,,non
StatisticsOverviewMissions,components/statistics/OverviewMissions.vue,0,,custom,,non
StatisticsOverviewOrganisations,components/statistics/OverviewOrganisations.vue,0,,custom,,non
StatisticsOverviewParticipations,components/statistics/OverviewParticipations.vue,0,,custom,,non
StatisticsOverviewPlaces,components/statistics/OverviewPlaces.vue,0,,custom,,non
StatisticsOverviewQuickGlance,components/statistics/OverviewQuickGlance.vue,0,,custom,,non
StatisticsOverviewUtilisateurs,components/statistics/OverviewUtilisateurs.vue,0,,custom,,non
StatisticsParticipationsByActivities,components/statistics/ParticipationsByActivities.vue,0,,custom,,non
StatisticsParticipationsByDomaines,components/statistics/ParticipationsByDomaines.vue,0,,custom,,non
StatisticsParticipationsByOrganisations,components/statistics/ParticipationsByOrganisations.vue,0,,custom,,non
StatisticsParticipationsByPeriod,components/statistics/ParticipationsByPeriod.vue,0,,custom,,non
StatisticsParticipationsByReseaux,components/statistics/ParticipationsByReseaux.vue,0,,custom,,non
StatisticsParticipationsCanceledByBenevoles,components/statistics/ParticipationsCanceledByBenevoles.vue,0,,custom,,non
StatisticsParticipationsDelaysByRegistrations,components/statistics/ParticipationsDelaysByRegistrations.vue,0,,custom,,non
StatisticsParticipationsStatistics,components/statistics/ParticipationsStatistics.vue,0,,custom,,non
StatisticsPlacesByActivities,components/statistics/PlacesByActivities.vue,0,,custom,,non
StatisticsPlacesByDomaines,components/statistics/PlacesByDomaines.vue,0,,custom,,non
StatisticsPlacesByMissions,components/statistics/PlacesByMissions.vue,0,,custom,,non
StatisticsPlacesByOrganisations,components/statistics/PlacesByOrganisations.vue,0,,custom,,non
StatisticsPlacesByReseaux,components/statistics/PlacesByReseaux.vue,0,,custom,,non
StatisticsPlacesStatistics,components/statistics/PlacesStatistics.vue,0,,custom,,non
StatisticsTemoignagesByGrades,components/statistics/TemoignagesByGrades.vue,0,,custom,,non
StatisticsUtilisateursByActivities,components/statistics/UtilisateursByActivities.vue,0,,custom,,non
StatisticsUtilisateursByAge,components/statistics/UtilisateursByAge.vue,0,,custom,,non
StatisticsUtilisateursByPeriod,components/statistics/UtilisateursByPeriod.vue,0,,custom,,non
StatisticsUtilisateursStatistics,components/statistics/UtilisateursStatistics.vue,0,,custom,,non
TagBoxTags,components/tag/BoxTags.vue,0,,custom,participation,oui
TagSelectTags,components/tag/SelectTags.vue,0,,custom,participation,oui
TerritoireAlgoliaMissionsPreview,components/territoire/AlgoliaMissionsPreview.vue,0,,custom,territoire,non
TerritoireBanner,components/territoire/Banner.vue,0,,custom,territoire,non
TerritoireEngagezVousPresDeChezVous,components/territoire/EngagezVousPresDeChezVous.vue,0,,custom,territoire,non
TerritoireNumbersAroundCities,components/territoire/NumbersAroundCities.vue,0,,custom,territoire,non
TerritoireNumbersNational,components/territoire/NumbersNational.vue,0,,custom,,non
TerritoirePanelResponsables,components/territoire/PanelResponsables.vue,0,,custom,territoire | responsables,non
TerritoireResponsableListItem,components/territoire/ResponsableListItem.vue,0,,custom,territoire | responsable,non
ToastError,components/ToastError.vue,0,,custom,message | errors,non
UiAccordion,components/ui/accordion/Accordion.vue,0,,custom,,oui
UiAccordionContent,components/ui/accordion/AccordionContent.vue,0,,custom,,oui
UiAccordionItem,components/ui/accordion/AccordionItem.vue,0,,custom,,oui
UiAccordionTrigger,components/ui/accordion/AccordionTrigger.vue,0,,custom,,oui
UiBadge,components/ui/Badge.vue,1,components/pages/admin/organisations/_id/diffusions/components/CategoryListItem.vue,custom,size | as | variant,oui
UiButton,components/ui/button/Button.vue,1,pages/admin/ui.vue,custom,variant | size | class,oui
UiButtonExpand,components/ui/ButtonExpand.vue,1,components/pages/admin/organisations/_id/diffusions/components/CategoryListItem.vue,custom,isExpanded,oui
UiCard,components/ui/card/Card.vue,1,pages/admin/ui.vue,custom,class,à discuter
UiCardContent,components/ui/card/CardContent.vue,1,pages/admin/ui.vue,custom,class,à discuter
UiCardDescription,components/ui/card/CardDescription.vue,1,pages/admin/ui.vue,custom,class,à discuter
UiCardFooter,components/ui/card/CardFooter.vue,1,pages/admin/ui.vue,custom,class,à discuter
UiCardHeader,components/ui/card/CardHeader.vue,1,pages/admin/ui.vue,custom,class,à discuter
UiCardTitle,components/ui/card/CardTitle.vue,1,pages/admin/ui.vue,custom,class,oui
UiCombobox,components/ui/combobox/Combobox.vue,1,pages/admin/ui.vue,custom,,oui
UiComboboxAnchor,components/ui/combobox/ComboboxAnchor.vue,1,pages/admin/ui.vue,custom,,oui
UiComboboxEmpty,components/ui/combobox/ComboboxEmpty.vue,1,pages/admin/ui.vue,custom,,oui
UiComboboxGroup,components/ui/combobox/ComboboxGroup.vue,1,pages/admin/ui.vue,custom,,oui
UiComboboxInput,components/ui/combobox/ComboboxInput.vue,1,pages/admin/ui.vue,custom,,oui
UiComboboxItem,components/ui/combobox/ComboboxItem.vue,1,pages/admin/ui.vue,custom,,oui
UiComboboxList,components/ui/combobox/ComboboxList.vue,1,pages/admin/ui.vue,custom,,oui
UiComboboxSeparator,components/ui/combobox/ComboboxSeparator.vue,0,,custom,,oui
UiComboboxTrigger,components/ui/combobox/ComboboxTrigger.vue,0,,custom,,oui
UiDropdownMenuCheckboxItem,components/ui/dropdown-menu/DropdownMenuCheckboxItem.vue,0,,custom,,à discuter
UiDropdownMenuGroup,components/ui/dropdown-menu/DropdownMenuGroup.vue,0,,custom,,non
UiDropdownMenuLabel,components/ui/dropdown-menu/DropdownMenuLabel.vue,1,components/custom/ButtonSelectMessageTemplate.vue,custom,,non
UiDropdownMenuRadioGroup,components/ui/dropdown-menu/DropdownMenuRadioGroup.vue,0,,custom,,à discuter
UiDropdownMenuRadioItem,components/ui/dropdown-menu/DropdownMenuRadioItem.vue,0,,custom,,à discuter
UiDropdownMenuShortcut,components/ui/dropdown-menu/DropdownMenuShortcut.vue,0,,custom,class,non
UiDropdownMenuSub,components/ui/dropdown-menu/DropdownMenuSub.vue,0,,custom,,non
UiDropdownMenuSubContent,components/ui/dropdown-menu/DropdownMenuSubContent.vue,0,,custom,,non
UiDropdownMenuSubTrigger,components/ui/dropdown-menu/DropdownMenuSubTrigger.vue,0,,custom,,non
UiFileUploadDrop,components/ui/file-upload/FileUploadDrop.vue,1,components/ui/FileUpload.vue,custom,extensions | maxSize,non
UiFileUpload,components/ui/FileUpload.vue,1,features/invitations/components/FormInvitationReseauAntennesFromFile.vue,custom,extensions | maxSize,non
UiFormControl,components/ui/form/FormControl.vue,1,pages/admin/ui.vue,custom,,oui
UiFormDescription,components/ui/form/FormDescription.vue,1,pages/admin/ui.vue,custom,class,non
UiFormItem,components/ui/form/FormItem.vue,1,pages/admin/ui.vue,custom,class,non
UiFormLabel,components/ui/form/FormLabel.vue,1,pages/admin/ui.vue,custom,,non
UiFormMessage,components/ui/form/FormMessage.vue,1,pages/admin/ui.vue,custom,,non
UiImageUploadImageCropper,components/ui/image-upload/ImageCropper.vue,1,components/ui/MediaUpload.vue,custom,image | ratio | minWidth | minHeight,non
UiImageUploadImagePreview,components/ui/image-upload/ImagePreview.vue,1,components/ui/MediaPicker.vue,custom,image,non
UiImageUploadArea,components/ui/image-upload/ImageUploadArea.vue,1,components/ui/MediaUpload.vue,custom,extensions | maxSize,non
UiImageUploadPrompt,components/ui/image-upload/ImageUploadPrompt.vue,1,components/ui/MediaUpload.vue,custom,,non
UiImageUploadMediaPreview,components/ui/image-upload/MediaPreview.vue,1,components/ui/MediaUpload.vue,custom,image,non
UiImageUploadMediaSelectPrompt,components/ui/image-upload/MediaSelectPrompt.vue,1,components/ui/MediaPicker.vue,custom,,oui
UiInput,components/ui/input/Input.vue,1,pages/admin/ui.vue,custom,defaultValue | modelValue | class,oui
UiLabel,components/ui/label/Label.vue,1,components/ui/form/FormLabel.vue,custom,,non
UiLink,components/ui/Link.vue,1,components/mission/BoxVisitsStatistics.vue,custom,,oui
UiMediaPicker,components/ui/MediaPicker.vue,1,components/form/FormMissionTemplate.vue,custom,media | params,non
UiMediaUpload,components/ui/MediaUpload.vue,1,components/form/FormMissionTemplate.vue,custom,media | minWidth | minHeight | maxWidth | maxHeight | ratio | maxSize | extensions,non
UiScrollArea,components/ui/scroll-area/ScrollArea.vue,1,features/missions/analyzer/PopupSummary.vue,custom,,non
UiScrollAreaScrollBar,components/ui/scroll-area/ScrollBar.vue,1,components/ui/scroll-area/ScrollArea.vue,custom,,non
UiSelect,components/ui/select/Select.vue,1,pages/admin/ui.vue,custom,,oui
UiSelectContent,components/ui/select/SelectContent.vue,1,pages/admin/ui.vue,custom,,oui
UiSelectGroup,components/ui/select/SelectGroup.vue,1,pages/admin/ui.vue,custom,,oui
UiSelectItem,components/ui/select/SelectItem.vue,1,pages/admin/ui.vue,custom,,oui
UiSelectItemText,components/ui/select/SelectItemText.vue,1,components/ui/select/SelectItem.vue,custom,,oui
UiSelectLabel,components/ui/select/SelectLabel.vue,0,,custom,,oui
UiSelectScrollDownButton,components/ui/select/SelectScrollDownButton.vue,1,components/ui/select/SelectContent.vue,custom,,oui
UiSelectScrollUpButton,components/ui/select/SelectScrollUpButton.vue,1,components/ui/select/SelectContent.vue,custom,,oui
UiSelectSeparator,components/ui/select/SelectSeparator.vue,0,,custom,,oui
UiSelectTrigger,components/ui/select/SelectTrigger.vue,1,pages/admin/ui.vue,custom,,oui
UiSelectValue,components/ui/select/SelectValue.vue,1,pages/admin/ui.vue,custom,,oui
UiSheetClose,components/ui/sheet/SheetClose.vue,0,,custom,,non
UiSheetOverlay,components/ui/sheet/SheetOverlay.vue,1,components/ui/sheet/SheetContent.vue,custom,class,non
UiSonner,components/ui/sonner/Sonner.vue,0,,custom,,non
UiTabs,components/ui/tabs/Tabs.vue,0,,custom,,oui
UiTabsContent,components/ui/tabs/TabsContent.vue,0,,custom,,oui
UiTabsList,components/ui/tabs/TabsList.vue,0,,custom,,oui
UiTabsTrigger,components/ui/tabs/TabsTrigger.vue,0,,custom,,oui
